,SCI,incarcerated_person_active_positive,incarcerated_person_asymptomatic_positive,incarcerated_person_deaths,staff_active_cases,staff_deaths,date
5,Camp Hill,10,9,3,29,1,2021-01-28
6,Chester,2,2,10,10,0,2021-01-28
7,Coal Township,14,8,0,36,0,2021-01-28
8,Dallas,1,0,9,21,0,2021-01-28
9,Fayette,5,4,2,9,1,2021-01-28
10,Forest,750,721,4,17,0,2021-01-28
11,Frackville,6,4,0,6,0,2021-01-28
12,Greene,10,10,1,7,0,2021-01-28
13,Houtzdale,23,4,1,10,1,2021-01-28
14,Huntingdon,6,4,7,16,0,2021-01-28
15,Laurel Highlands,15,15,11,11,0,2021-01-28
16,Mahanoy,39,6,4,9,0,2021-01-28
17,Mercer,6,4,4,2,0,2021-01-28
18,Muncy,12,11,1,8,0,2021-01-28
19,Phoenix,24,14,11,34,0,2021-01-28
20,Pine Grove,0,0,1,7,0,2021-01-28
21,Quehanna BC,22,3,0,3,0,2021-01-28
22,Rockview,3,3,1,2,0,2021-01-28
23,Smithfield,69,69,6,5,1,2021-01-28
24,Somerset,2,2,4,8,0,2021-01-28
25,Waymart,164,141,5,28,0,2021-01-28
2,Albion,45,24,2,12,0,2021-02-16
3,Benner Township,8,6,6,5,0,2021-02-16
4,Cambridge Springs,3,2,1,2,0,2021-02-16
5,Camp Hill,13,10,3,30,1,2021-02-16
6,Chester,3,2,10,8,0,2021-02-16
7,Coal Township,163,154,0,23,0,2021-02-16
8,Dallas,0,0,9,13,0,2021-02-16
9,Fayette,14,10,2,12,1,2021-02-16
10,Forest,17,11,4,7,0,2021-02-16
11,Frackville,3,2,0,3,0,2021-02-16
12,Greene,0,0,1,1,0,2021-02-16
13,Houtzdale,5,4,2,6,1,2021-02-16
14,Huntingdon,3,2,7,4,0,2021-02-16
15,Laurel Highlands,0,0,11,4,0,2021-02-16
16,Mahanoy,11,2,4,8,0,2021-02-16
17,Mercer,1,1,4,3,0,2021-02-16
18,Muncy,12,10,1,3,0,2021-02-16
19,Phoenix,7,4,12,17,0,2021-02-16
20,Pine Grove,2,2,1,2,0,2021-02-16
