date,SCI,incarcerated_person_positive
2021-08-21,Benner,0
2021-08-24,Benner,0
2021-08-25,Benner,0
2021-08-26,Benner,0
2021-08-27,Benner,0
2021-08-28,Benner,0
2021-08-30,Benner,0
2021-08-31,Benner,0
2021-09-01,Benner,0
2021-09-02,Benner,0
2021-09-03,Benner,1
2021-09-04,Benner,0
2021-09-06,Benner,0
2021-09-07,Benner,0
2021-09-08,Benner,0
2021-09-09,Benner,0
2021-09-10,Benner,0
2021-09-11,Benner,0
2021-09-12,Benner,0
2021-09-13,Benner,0
2021-09-14,Benner,0
2021-09-15,Benner,0
2021-09-16,Benner,0
2021-09-17,Benner,1
2021-09-18,Benner,0
2021-09-19,Benner,0
2021-09-20,Benner,0
2021-09-21,Benner,0
2021-09-22,Benner,5
2021-09-23,Benner,0
2021-09-24,Benner,0
2021-09-25,Benner,0
2021-09-27,Benner,0
2021-09-28,Benner,0
2021-09-29,Benner,0
2021-09-30,Benner,0
2021-10-01,Benner,0
2021-10-03,Benner,0
2021-10-04,Benner,0
2021-10-05,Benner,0
2021-10-06,Benner,0
2021-10-07,Benner,0
2021-10-08,Benner,0
2021-10-09,Benner,0
2021-10-10,Benner,0
2021-10-11,Benner,0
2021-10-12,Benner,0
2021-10-13,Benner,0
2021-10-14,Benner,0
2021-10-15,Benner,0
2021-10-16,Benner,0
2021-10-18,Benner,0
2021-10-19,Benner,0
2021-10-20,Benner,0
2021-10-21,Benner,0
2021-10-22,Benner,0
2021-10-23,Benner,0
2021-10-25,Benner,0
2021-10-26,Benner,0
2021-10-27,Benner,0
2021-10-29,Benner,0
2021-10-30,Benner,0
2021-11-01,Benner,0
2021-11-02,Benner,0
2021-11-03,Benner,0
2021-11-04,Benner,0
2021-11-05,Benner,0
2021-11-06,Benner,0
2021-11-07,Benner,0
2021-11-08,Benner,0
2021-11-09,Benner,37
2021-11-10,Benner,0
2021-11-11,Benner,6
2021-11-12,Benner,7
2021-11-13,Benner,0
2021-11-14,Benner,0
2021-11-15,Benner,0
2021-11-16,Benner,4
2021-11-17,Benner,0
2021-11-18,Benner,21
2021-11-19,Benner,2
2021-11-20,Benner,0
2021-11-22,Benner,0
2021-11-23,Benner,1
2021-11-24,Benner,4
2021-11-25,Benner,0
2021-11-26,Benner,1
2021-11-27,Benner,9
2021-11-28,Benner,0
2021-11-29,Benner,0
2021-11-30,Benner,1
2021-12-01,Benner,2
2021-12-02,Benner,3
2021-12-03,Benner,1
2021-12-04,Benner,8
2021-12-05,Benner,0
2021-12-06,Benner,0
2021-12-07,Benner,0
2021-12-08,Benner,2
2021-12-09,Benner,0
2021-12-10,Benner,2
2021-12-11,Benner,0
2021-12-12,Benner,0
2021-12-13,Benner,0
2021-12-14,Benner,0
2021-12-15,Benner,2
2021-12-16,Benner,0
2021-12-17,Benner,0
2021-12-18,Benner,1
2021-12-20,Benner,0
2021-12-21,Benner,0
2021-12-22,Benner,0
2021-12-23,Benner,0
2021-12-24,Benner,1
2021-12-27,Benner,0
2021-12-28,Benner,0
2021-12-29,Benner,0
2021-12-30,Benner,0
2021-12-31,Benner,0
2022-01-01,Benner,0
2022-01-02,Benner,0
2022-01-03,Benner,0
2022-01-04,Benner,1
2022-01-05,Benner,0
2022-01-06,Benner,0
2022-01-07,Benner,0
2022-01-08,Benner,0
2022-01-09,Benner,0
2022-01-10,Benner,0
2022-01-11,Benner,0
2022-01-12,Benner,1
2022-01-13,Benner,0
2022-01-14,Benner,0
2022-01-15,Benner,0
2022-01-16,Benner,0
2022-01-17,Benner,0
2022-01-18,Benner,0
2022-01-19,Benner,4
2022-01-20,Benner,0
2022-01-21,Benner,0
2022-01-22,Benner,1
2022-01-23,Benner,0
2022-01-24,Benner,0
2022-01-25,Benner,1
2022-01-26,Benner,2
2022-01-27,Benner,3
2022-01-28,Benner,7
2022-01-29,Benner,2
2022-01-31,Benner,0
2020-03-28,Cambridge Springs,0
2020-03-31,Cambridge Springs,0
2020-04-03,Cambridge Springs,0
2020-04-04,Cambridge Springs,0
2020-04-07,Cambridge Springs,0
