,SCI,population,reprieve_releases,population_after_reprieve,population_change_one_day,population_change_one_week,population_change_one_month,date
0,Albion,2201.0,4.0,2197.0,-2.0,-2.0,-6.0,2020-10-19
1,Benner,1975.0,3.0,1972.0,1.0,1.0,-16.0,2020-10-19
2,Camp Hill,1939.0,7.0,1932.0,0.0,0.0,-299.0,2020-10-19
3,Cambridge Springs,963.0,18.0,945.0,-3.0,-3.0,-19.0,2020-10-19
4,Chester,1055.0,2.0,1053.0,-1.0,-1.0,85.0,2020-10-19
5,Coal Township,2244.0,4.0,2240.0,10.0,10.0,57.0,2020-10-19
6,Dallas,2096.0,2.0,2094.0,-5.0,-5.0,-14.0,2020-10-19
7,Frackville,1026.0,3.0,1023.0,0.0,0.0,-12.0,2020-10-19
8,Forest,2322.0,4.0,2318.0,-3.0,-3.0,-24.0,2020-10-19
9,Fayette,1941.0,3.0,1938.0,-1.0,-1.0,-36.0,2020-10-19
10,Greene,1696.0,3.0,1693.0,2.0,2.0,25.0,2020-10-19
11,Houtzdale,2429.0,2.0,2427.0,-5.0,-5.0,-10.0,2020-10-19
12,Huntingdon,1785.0,1.0,1784.0,-3.0,-3.0,46.0,2020-10-19
13,Laurel Highlands,871.0,13.0,858.0,-5.0,-5.0,-27.0,2020-10-19
14,Mahanoy,2287.0,5.0,2282.0,0.0,0.0,-24.0,2020-10-19
15,Mercer,1233.0,3.0,1230.0,-10.0,-10.0,-39.0,2020-10-19
16,Muncy,1091.0,10.0,1081.0,0.0,0.0,24.0,2020-10-19
17,Phoenix,2937.0,9.0,2928.0,-6.0,-6.0,116.0,2020-10-19
18,Pine Grove,1003.0,3.0,1000.0,-2.0,-2.0,-21.0,2020-10-19
19,Quehanna,348.0,0.0,348.0,0.0,0.0,-68.0,2020-10-19
20,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-19
21,Rockview,1601.0,5.0,1596.0,-1.0,-1.0,-38.0,2020-10-19
22,Smithfield,1355.0,4.0,1351.0,-1.0,-1.0,-22.0,2020-10-19
23,Somerset,2235.0,0.0,2235.0,-3.0,-3.0,-24.0,2020-10-19
24,Waymart,1022.0,8.0,1014.0,0.0,0.0,-23.0,2020-10-19
25,SCI TOTAL,39655.0,116.0,39539.0,-38.0,-38.0,-369.0,2020-10-19
26,CCC/F East,635.0,0.0,635.0,0.0,0.0,23.0,2020-10-19
27,CCC/F Central,843.0,0.0,843.0,0.0,0.0,-37.0,2020-10-19
28,CCC/F West,812.0,0.0,812.0,0.0,0.0,74.0,2020-10-19
29,CCC/F TOTAL,2290.0,0.0,2290.0,0.0,0.0,60.0,2020-10-19
30,Albion,2179.0,4.0,2175.0,-1.0,-12.0,-28.0,2020-10-31
31,Benner,1954.0,3.0,1951.0,-1.0,-12.0,-37.0,2020-10-31
32,Camp Hill,2154.0,7.0,2147.0,-2.0,22.0,-84.0,2020-10-31
33,Cambridge Springs,966.0,18.0,948.0,0.0,1.0,-16.0,2020-10-31
34,Chester,1030.0,2.0,1028.0,-5.0,-10.0,60.0,2020-10-31
35,Coal Township,2285.0,4.0,2281.0,-45.0,-5.0,98.0,2020-10-31
36,Dallas,2028.0,2.0,2026.0,-1.0,-52.0,-82.0,2020-10-31
37,Frackville,1019.0,3.0,1016.0,0.0,4.0,-19.0,2020-10-31
38,Forest,2316.0,4.0,2312.0,0.0,-3.0,-30.0,2020-10-31
39,Fayette,1948.0,3.0,1945.0,21.0,10.0,-29.0,2020-10-31
40,Greene,1714.0,3.0,1711.0,1.0,10.0,43.0,2020-10-31
41,Houtzdale,2419.0,2.0,2417.0,-2.0,-8.0,-20.0,2020-10-31
42,Huntingdon,1707.0,1.0,1706.0,-33.0,-36.0,-32.0,2020-10-31
43,Laurel Highlands,860.0,13.0,847.0,-3.0,-7.0,-38.0,2020-10-31
44,Mahanoy,2270.0,5.0,2265.0,-1.0,-6.0,-41.0,2020-10-31
45,Mercer,1212.0,3.0,1209.0,-6.0,-13.0,-60.0,2020-10-31
46,Muncy,1078.0,10.0,1068.0,8.0,-1.0,11.0,2020-10-31
47,Phoenix,2875.0,9.0,2866.0,-3.0,-23.0,54.0,2020-10-31
48,Pine Grove,991.0,3.0,988.0,-2.0,-9.0,-33.0,2020-10-31
49,Quehanna,317.0,0.0,317.0,-1.0,-22.0,-99.0,2020-10-31
50,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-31
51,Rockview,1582.0,5.0,1577.0,1.0,-12.0,-57.0,2020-10-31
52,Smithfield,1337.0,4.0,1333.0,-1.0,-13.0,-40.0,2020-10-31
53,Somerset,2222.0,0.0,2222.0,0.0,-6.0,-37.0,2020-10-31
54,Waymart,1005.0,7.0,998.0,-3.0,-7.0,-39.0,2020-10-31
55,SCI TOTAL,39468.0,115.0,39353.0,-79.0,-210.0,-555.0,2020-10-31
56,CCC/F East,637.0,0.0,637.0,8.0,-8.0,25.0,2020-10-31
57,CCC/F Central,828.0,0.0,828.0,15.0,10.0,-52.0,2020-10-31
58,CCC/F West,823.0,0.0,823.0,12.0,9.0,85.0,2020-10-31
59,CCC/F TOTAL,2288.0,0.0,2288.0,35.0,11.0,58.0,2020-10-31
60,Albion,2191.0,4.0,2187.0,0.0,-12.0,-16.0,2020-10-25
61,Benner,1966.0,3.0,1963.0,-1.0,-8.0,-25.0,2020-10-25
62,Camp Hill,2132.0,7.0,2125.0,52.0,193.0,-106.0,2020-10-25
63,Cambridge Springs,965.0,18.0,947.0,-1.0,-1.0,-17.0,2020-10-25
64,Chester,1040.0,2.0,1038.0,-5.0,-16.0,70.0,2020-10-25
65,Coal Township,2290.0,4.0,2286.0,13.0,56.0,103.0,2020-10-25
66,Dallas,2080.0,2.0,2078.0,-4.0,-21.0,-30.0,2020-10-25
67,Frackville,1015.0,3.0,1012.0,-3.0,-11.0,-23.0,2020-10-25
68,Forest,2319.0,4.0,2315.0,0.0,-6.0,-27.0,2020-10-25
69,Fayette,1938.0,3.0,1935.0,-2.0,-4.0,-39.0,2020-10-25
70,Greene,1704.0,3.0,1701.0,3.0,10.0,33.0,2020-10-25
71,Houtzdale,2427.0,2.0,2425.0,-1.0,-7.0,-12.0,2020-10-25
72,Huntingdon,1743.0,1.0,1742.0,-28.0,-45.0,4.0,2020-10-25
73,Laurel Highlands,867.0,13.0,854.0,-1.0,-9.0,-31.0,2020-10-25
74,Mahanoy,2276.0,5.0,2271.0,-8.0,-11.0,-35.0,2020-10-25
75,Mercer,1225.0,3.0,1222.0,-2.0,-18.0,-47.0,2020-10-25
76,Muncy,1079.0,10.0,1069.0,1.0,-12.0,12.0,2020-10-25
77,Phoenix,2898.0,9.0,2889.0,1.0,-45.0,77.0,2020-10-25
78,Pine Grove,1000.0,3.0,997.0,0.0,-5.0,-24.0,2020-10-25
79,Quehanna,339.0,0.0,339.0,0.0,-9.0,-77.0,2020-10-25
80,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-25
81,Rockview,1594.0,5.0,1589.0,-2.0,-8.0,-45.0,2020-10-25
82,Smithfield,1350.0,4.0,1346.0,-2.0,-6.0,-27.0,2020-10-25
83,Somerset,2228.0,0.0,2228.0,-1.0,-10.0,-31.0,2020-10-25
84,Waymart,1013.0,8.0,1005.0,-2.0,-9.0,-32.0,2020-10-25
85,SCI TOTAL,39679.0,116.0,39563.0,7.0,-14.0,-345.0,2020-10-25
86,CCC/F East,645.0,0.0,645.0,16.0,10.0,33.0,2020-10-25
87,CCC/F Central,818.0,0.0,818.0,2.0,-25.0,-62.0,2020-10-25
88,CCC/F West,814.0,0.0,814.0,23.0,2.0,76.0,2020-10-25
89,CCC/F TOTAL,2277.0,0.0,2277.0,41.0,-13.0,47.0,2020-10-25
90,Albion,2184.0,4.0,2180.0,-7.0,-8.0,-18.0,2020-07-15
91,Benner,2047.0,3.0,2044.0,-8.0,-9.0,0.0,2020-07-15
92,Camp Hill,1939.0,9.0,1930.0,-70.0,-117.0,-163.0,2020-07-15
93,Cambridge Springs,1043.0,19.0,1024.0,0.0,7.0,0.0,2020-07-15
94,Chester,985.0,3.0,982.0,4.0,-2.0,43.0,2020-07-15
95,Coal Township,2139.0,4.0,2135.0,7.0,10.0,21.0,2020-07-15
96,Dallas,2099.0,3.0,2096.0,-1.0,-2.0,-42.0,2020-07-15
97,Frackville,1205.0,4.0,1201.0,-5.0,-13.0,-15.0,2020-07-15
98,Forest,2395.0,8.0,2387.0,0.0,-5.0,4.0,2020-07-15
99,Fayette,2017.0,4.0,2013.0,11.0,7.0,4.0,2020-07-15
100,Greene,1752.0,3.0,1749.0,3.0,1.0,10.0,2020-07-15
101,Houtzdale,2450.0,3.0,2447.0,0.0,1.0,-2.0,2020-07-15
102,Huntingdon,1863.0,1.0,1862.0,-4.0,-6.0,-9.0,2020-07-15
103,Laurel Highlands,1226.0,18.0,1208.0,0.0,-5.0,-8.0,2020-07-15
104,Mahanoy,2334.0,5.0,2329.0,-6.0,-8.0,-22.0,2020-07-15
105,Mercer,1376.0,3.0,1373.0,23.0,16.0,28.0,2020-07-15
106,Muncy,1121.0,11.0,1110.0,0.0,-11.0,-11.0,2020-07-15
107,Phoenix,2851.0,9.0,2842.0,-6.0,-17.0,-30.0,2020-07-15
108,Pine Grove,1070.0,4.0,1066.0,20.0,16.0,32.0,2020-07-15
109,Quehanna,478.0,0.0,478.0,-2.0,18.0,29.0,2020-07-15
110,Retreat,0.0,0.0,0.0,0.0,0.0,-10.0,2020-07-15
111,Rockview,1976.0,8.0,1968.0,-3.0,-5.0,-9.0,2020-07-15
112,Smithfield,1403.0,5.0,1398.0,-1.0,30.0,40.0,2020-07-15
113,Somerset,2302.0,0.0,2302.0,-1.0,-5.0,-3.0,2020-07-15
114,Waymart,1162.0,11.0,1151.0,-3.0,-7.0,-21.0,2020-07-15
115,SCI TOTAL,41417.0,142.0,41275.0,-49.0,-114.0,-152.0,2020-07-15
116,CCC/F East,864.0,0.0,864.0,0.0,-17.0,-24.0,2020-07-15
117,CCC/F Central,934.0,0.0,934.0,0.0,-18.0,-28.0,2020-07-15
118,CCC/F West,620.0,0.0,620.0,0.0,-3.0,-19.0,2020-07-15
119,CCC/F TOTAL,2418.0,0.0,2418.0,0.0,-38.0,-71.0,2020-07-15
120,Albion,2202.0,4.0,2198.0,-2.0,-2.0,18.0,2020-07-01
121,Benner,2047.0,3.0,2044.0,-1.0,-1.0,36.0,2020-07-01
122,Camp Hill,2103.0,10.0,2093.0,-18.0,-20.0,-624.0,2020-07-01
123,Cambridge Springs,1043.0,19.0,1024.0,-5.0,-5.0,-17.0,2020-07-01
124,Chester,942.0,3.0,939.0,36.0,36.0,10.0,2020-07-01
125,Coal Township,2118.0,4.0,2114.0,11.0,8.0,79.0,2020-07-01
126,Dallas,2141.0,3.0,2138.0,-1.0,-2.0,13.0,2020-07-01
127,Frackville,1220.0,4.0,1216.0,-1.0,-5.0,42.0,2020-07-01
128,Forest,2391.0,8.0,2383.0,-2.0,-2.0,66.0,2020-07-01
129,Fayette,2013.0,4.0,2009.0,0.0,-1.0,131.0,2020-07-01
130,Greene,1743.0,4.0,1739.0,4.0,3.0,12.0,2020-07-01
131,Houtzdale,2453.0,4.0,2449.0,-1.0,-4.0,29.0,2020-07-01
132,Huntingdon,1872.0,1.0,1871.0,0.0,-3.0,-15.0,2020-07-01
133,Laurel Highlands,1234.0,18.0,1216.0,-3.0,-5.0,-67.0,2020-07-01
134,Mahanoy,2356.0,5.0,2351.0,-7.0,-7.0,99.0,2020-07-01
135,Mercer,1348.0,3.0,1345.0,-4.0,-6.0,42.0,2020-07-01
136,Muncy,1132.0,11.0,1121.0,1.0,1.0,-106.0,2020-07-01
137,Phoenix,2881.0,9.0,2872.0,-3.0,-8.0,-58.0,2020-07-01
138,Pine Grove,1038.0,4.0,1034.0,-1.0,-2.0,32.0,2020-07-01
139,Quehanna,449.0,0.0,449.0,6.0,6.0,47.0,2020-07-01
140,Retreat,10.0,0.0,10.0,-2.0,-2.0,-576.0,2020-07-01
141,Rockview,1985.0,8.0,1977.0,-3.0,-4.0,-48.0,2020-07-01
142,Smithfield,1363.0,5.0,1358.0,1.0,1.0,103.0,2020-07-01
143,Somerset,2305.0,0.0,2305.0,0.0,-1.0,22.0,2020-07-01
144,Waymart,1183.0,11.0,1172.0,-4.0,-4.0,-51.0,2020-07-01
145,SCI TOTAL,41572.0,145.0,41427.0,1.0,-29.0,-781.0,2020-07-01
146,CCC/F East,888.0,0.0,888.0,-19.0,-19.0,-107.0,2020-07-01
147,CCC/F Central,962.0,0.0,962.0,-15.0,-15.0,-163.0,2020-07-01
148,CCC/F West,639.0,0.0,639.0,0.0,0.0,-84.0,2020-07-01
149,CCC/F TOTAL,2489.0,0.0,2489.0,-34.0,-34.0,-354.0,2020-07-01
150,Albion,2195.0,4.0,2191.0,-8.0,-9.0,-7.0,2020-07-29
151,Benner,2032.0,3.0,2029.0,-1.0,1.0,-15.0,2020-07-29
152,Camp Hill,1842.0,9.0,1833.0,9.0,-23.0,-260.0,2020-07-29
153,Cambridge Springs,1018.0,19.0,999.0,-6.0,1.0,-25.0,2020-07-29
154,Chester,1002.0,3.0,999.0,-13.0,3.0,60.0,2020-07-29
155,Coal Township,2183.0,4.0,2179.0,-29.0,-13.0,65.0,2020-07-29
156,Dallas,2123.0,3.0,2120.0,36.0,39.0,-18.0,2020-07-29
157,Frackville,1182.0,4.0,1178.0,-2.0,-5.0,-38.0,2020-07-29
158,Forest,2370.0,7.0,2363.0,-2.0,-6.0,-20.0,2020-07-29
159,Fayette,2003.0,4.0,1999.0,-7.0,-16.0,-10.0,2020-07-29
160,Greene,1699.0,3.0,1696.0,-2.0,4.0,-43.0,2020-07-29
161,Houtzdale,2484.0,3.0,2481.0,-2.0,0.0,32.0,2020-07-29
162,Huntingdon,1832.0,1.0,1831.0,-2.0,-15.0,-40.0,2020-07-29
163,Laurel Highlands,1171.0,17.0,1154.0,-6.0,-11.0,-62.0,2020-07-29
164,Mahanoy,2325.0,5.0,2320.0,-3.0,13.0,-31.0,2020-07-29
165,Mercer,1366.0,3.0,1363.0,-6.0,-8.0,18.0,2020-07-29
166,Muncy,1122.0,11.0,1111.0,-1.0,-8.0,-10.0,2020-07-29
167,Phoenix,2836.0,8.0,2828.0,-8.0,-17.0,-44.0,2020-07-29
168,Pine Grove,1042.0,4.0,1038.0,-1.0,1.0,4.0,2020-07-29
169,Quehanna,434.0,0.0,434.0,0.0,-1.0,-15.0,2020-07-29
170,Retreat,0.0,0.0,0.0,0.0,0.0,-10.0,2020-07-29
171,Rockview,1947.0,6.0,1941.0,-1.0,-14.0,-36.0,2020-07-29
172,Smithfield,1395.0,4.0,1391.0,-1.0,-2.0,33.0,2020-07-29
173,Somerset,2301.0,0.0,2301.0,-3.0,-14.0,-4.0,2020-07-29
174,Waymart,1128.0,11.0,1117.0,-3.0,-10.0,-55.0,2020-07-29
175,SCI TOTAL,41032.0,136.0,40896.0,-62.0,-110.0,-531.0,2020-07-29
176,CCC/F East,830.0,0.0,830.0,0.0,-29.0,-58.0,2020-07-29
177,CCC/F Central,876.0,0.0,876.0,0.0,-12.0,-86.0,2020-07-29
178,CCC/F West,602.0,0.0,602.0,0.0,17.0,-37.0,2020-07-29
179,CCC/F TOTAL,2308.0,0.0,2308.0,0.0,-24.0,-181.0,2020-07-29
180,Albion,2231.0,4.0,2227.0,0.0,-9.0,-6.0,2020-09-04
181,Benner,2011.0,3.0,2008.0,1.0,-2.0,0.0,2020-09-04
182,Camp Hill,2160.0,8.0,2152.0,-1.0,27.0,-17.0,2020-09-04
183,Cambridge Springs,989.0,19.0,970.0,3.0,4.0,-2.0,2020-09-04
184,Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-09-04
185,Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-09-04
186,Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-09-04
187,Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-09-04
188,Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-09-04
189,Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-09-04
190,Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-09-04
191,Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-09-04
192,Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-09-04
193,Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-09-04
194,Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-09-04
195,Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-09-04
196,Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-09-04
197,Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-09-04
198,Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-09-04
199,Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-09-04
200,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-04
201,Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-09-04
202,Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-09-04
203,Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-09-04
204,Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-09-04
205,SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-09-04
206,CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-09-04
207,CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-09-04
208,CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-09-04
209,CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-09-04
210,Albion,2231.0,4.0,2227.0,0.0,-9.0,-6.0,2020-09-10
211,Benner,2011.0,3.0,2008.0,1.0,-2.0,0.0,2020-09-10
212,Camp Hill,2160.0,8.0,2152.0,-1.0,27.0,-17.0,2020-09-10
213,Cambridge Springs,989.0,19.0,970.0,3.0,4.0,-2.0,2020-09-10
214,Chester,1005.0,2.0,1003.0,12.0,2.0,1.0,2020-09-10
215,Coal Township,2217.0,4.0,2213.0,-41.0,-34.0,-53.0,2020-09-10
216,Dallas,2123.0,2.0,2121.0,0.0,-3.0,-2.0,2020-09-10
217,Frackville,1058.0,4.0,1054.0,-2.0,0.0,1.0,2020-09-10
218,Forest,2361.0,6.0,2355.0,-2.0,-22.0,-17.0,2020-09-10
219,Fayette,1979.0,4.0,1975.0,-1.0,-11.0,-9.0,2020-09-10
220,Greene,1711.0,3.0,1708.0,-6.0,10.0,11.0,2020-09-10
221,Houtzdale,2444.0,2.0,2442.0,-3.0,-10.0,-6.0,2020-09-10
222,Huntingdon,1788.0,1.0,1787.0,-3.0,-9.0,-7.0,2020-09-10
223,Laurel Highlands,938.0,15.0,923.0,2.0,-12.0,-5.0,2020-09-10
224,Mahanoy,2328.0,5.0,2323.0,1.0,7.0,6.0,2020-09-10
225,Mercer,1328.0,3.0,1325.0,-1.0,-17.0,-15.0,2020-09-10
226,Muncy,1112.0,11.0,1101.0,4.0,-2.0,11.0,2020-09-10
227,Phoenix,2832.0,8.0,2824.0,24.0,8.0,7.0,2020-09-10
228,Pine Grove,1030.0,4.0,1026.0,0.0,-8.0,-4.0,2020-09-10
229,Quehanna,460.0,0.0,460.0,0.0,0.0,0.0,2020-09-10
230,Retreat,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-10
231,Rockview,1682.0,6.0,1676.0,-2.0,-35.0,-36.0,2020-09-10
232,Smithfield,1382.0,4.0,1378.0,0.0,-1.0,0.0,2020-09-10
233,Somerset,2279.0,0.0,2279.0,4.0,-1.0,3.0,2020-09-10
234,Waymart,1082.0,9.0,1073.0,2.0,-1.0,0.0,2020-09-10
235,SCI TOTAL,40530.0,127.0,40403.0,-9.0,-119.0,-139.0,2020-09-10
236,CCC/F East,614.0,0.0,614.0,22.0,-50.0,-50.0,2020-09-10
237,CCC/F Central,872.0,0.0,872.0,8.0,-24.0,-24.0,2020-09-10
238,CCC/F West,648.0,0.0,648.0,21.0,-18.0,-18.0,2020-09-10
239,CCC/F TOTAL,2134.0,0.0,2134.0,51.0,-92.0,-92.0,2020-09-10
240,Albion,2208.0,2.0,2206.0,-1.0,-26.0,-31.0,2020-05-10
241,Benner,2031.0,4.0,2027.0,-3.0,-11.0,-13.0,2020-05-10
242,Camp Hill,2950.0,9.0,2941.0,-35.0,-69.0,-44.0,2020-05-10
243,Cambridge Springs,1097.0,16.0,1081.0,0.0,-23.0,-33.0,2020-05-10
244,Chester,988.0,3.0,985.0,0.0,-18.0,-21.0,2020-05-10
245,Coal Township,2065.0,5.0,2060.0,-2.0,-15.0,-21.0,2020-05-10
246,Dallas,2133.0,3.0,2130.0,-1.0,-14.0,-20.0,2020-05-10
247,Frackville,1184.0,4.0,1180.0,-3.0,-10.0,13.0,2020-05-10
248,Forest,2323.0,7.0,2316.0,0.0,-8.0,-7.0,2020-05-10
249,Fayette,1915.0,4.0,1911.0,-3.0,-24.0,-27.0,2020-05-10
250,Greene,1747.0,4.0,1743.0,-2.0,-11.0,-14.0,2020-05-10
251,Houtzdale,2431.0,4.0,2427.0,-3.0,-27.0,-27.0,2020-05-10
252,Huntingdon,1951.0,1.0,1950.0,0.0,-31.0,-32.0,2020-05-10
253,Laurel Highlands,1344.0,12.0,1332.0,-3.0,-16.0,-21.0,2020-05-10
254,Mahanoy,2274.0,5.0,2269.0,-2.0,-21.0,-25.0,2020-05-10
255,Mercer,1318.0,3.0,1315.0,0.0,-4.0,-8.0,2020-05-10
256,Muncy,1279.0,10.0,1269.0,-4.0,-25.0,-27.0,2020-05-10
257,Phoenix,2977.0,8.0,2969.0,-4.0,-15.0,-54.0,2020-05-10
258,Pine Grove,1021.0,2.0,1019.0,1.0,0.0,-5.0,2020-05-10
259,Quehanna,327.0,0.0,327.0,36.0,24.0,24.0,2020-05-10
260,Retreat,493.0,0.0,493.0,9.0,76.0,135.0,2020-05-10
261,Rockview,2056.0,4.0,2052.0,-2.0,-15.0,-84.0,2020-05-10
262,Smithfield,1260.0,4.0,1256.0,-1.0,-5.0,-9.0,2020-05-10
263,Somerset,2295.0,0.0,2295.0,-2.0,-8.0,-10.0,2020-05-10
264,Waymart,1280.0,10.0,1270.0,-4.0,-29.0,-36.0,2020-05-10
265,SCI TOTAL,42947.0,124.0,42823.0,-29.0,-325.0,-397.0,2020-05-10
266,CCC/F East,1057.0,0.0,1057.0,-3.0,17.0,32.0,2020-05-10
267,CCC/F Central,1167.0,0.0,1167.0,-9.0,-54.0,-26.0,2020-05-10
268,CCC/F West,758.0,0.0,758.0,9.0,14.0,24.0,2020-05-10
269,CCC/F TOTAL,2982.0,0.0,2982.0,-3.0,-23.0,30.0,2020-05-10
270,Albion,2231.0,2.0,2229.0,-2.0,-3.0,-8.0,2020-05-04
271,Benner,2041.0,3.0,2038.0,0.0,0.0,-2.0,2020-05-04
272,Camp Hill,3014.0,8.0,3006.0,-3.0,-4.0,21.0,2020-05-04
273,Cambridge Springs,1112.0,16.0,1096.0,0.0,-8.0,-18.0,2020-05-04
274,Chester,1005.0,2.0,1003.0,0.0,0.0,-3.0,2020-05-04
275,Coal Township,2080.0,5.0,2075.0,0.0,0.0,-6.0,2020-05-04
276,Dallas,2147.0,3.0,2144.0,0.0,0.0,-6.0,2020-05-04
277,Frackville,1193.0,3.0,1190.0,0.0,0.0,23.0,2020-05-04
278,Forest,2327.0,5.0,2322.0,0.0,-2.0,-1.0,2020-05-04
279,Fayette,1934.0,3.0,1931.0,-3.0,-4.0,-7.0,2020-05-04
280,Greene,1753.0,3.0,1750.0,-2.0,-4.0,-7.0,2020-05-04
281,Houtzdale,2453.0,3.0,2450.0,0.0,-4.0,-4.0,2020-05-04
282,Huntingdon,1982.0,1.0,1981.0,0.0,0.0,-1.0,2020-05-04
283,Laurel Highlands,1358.0,12.0,1346.0,0.0,-2.0,-7.0,2020-05-04
284,Mahanoy,2291.0,3.0,2288.0,0.0,-2.0,-6.0,2020-05-04
285,Mercer,1322.0,3.0,1319.0,0.0,0.0,-4.0,2020-05-04
286,Muncy,1302.0,9.0,1293.0,0.0,-1.0,-3.0,2020-05-04
287,Phoenix,2989.0,8.0,2981.0,0.0,-3.0,-42.0,2020-05-04
288,Pine Grove,1021.0,2.0,1019.0,0.0,0.0,-5.0,2020-05-04
289,Quehanna,303.0,0.0,303.0,0.0,0.0,0.0,2020-05-04
290,Retreat,418.0,0.0,418.0,0.0,1.0,60.0,2020-05-04
291,Rockview,2067.0,4.0,2063.0,0.0,-4.0,-73.0,2020-05-04
292,Smithfield,1264.0,3.0,1261.0,0.0,0.0,-4.0,2020-05-04
293,Somerset,2302.0,0.0,2302.0,0.0,-1.0,-3.0,2020-05-04
294,Waymart,1307.0,10.0,1297.0,0.0,-2.0,-9.0,2020-05-04
295,SCI TOTAL,43216.0,111.0,43105.0,-10.0,-43.0,-115.0,2020-05-04
296,CCC/F East,1040.0,0.0,1040.0,0.0,0.0,15.0,2020-05-04
297,CCC/F Central,1221.0,0.0,1221.0,0.0,0.0,28.0,2020-05-04
298,CCC/F West,744.0,0.0,744.0,0.0,0.0,10.0,2020-05-04
299,CCC/F TOTAL,3005.0,0.0,3005.0,0.0,0.0,53.0,2020-05-04
300,Albion,2229.0,2.0,2227.0,-2.0,-5.0,-10.0,2020-05-05
301,Benner,2040.0,3.0,2037.0,-1.0,-1.0,-3.0,2020-05-05
302,Camp Hill,3002.0,8.0,2994.0,-12.0,-16.0,9.0,2020-05-05
303,Cambridge Springs,1106.0,16.0,1090.0,-6.0,-14.0,-24.0,2020-05-05
304,Chester,1001.0,2.0,999.0,-4.0,-4.0,-7.0,2020-05-05
305,Coal Township,2072.0,5.0,2067.0,-8.0,-8.0,-14.0,2020-05-05
306,Dallas,2144.0,3.0,2141.0,-3.0,-3.0,-9.0,2020-05-05
307,Frackville,1188.0,3.0,1185.0,-5.0,-5.0,18.0,2020-05-05
308,Forest,2327.0,5.0,2322.0,0.0,-2.0,-1.0,2020-05-05
309,Fayette,1930.0,3.0,1927.0,-4.0,-8.0,-11.0,2020-05-05
310,Greene,1753.0,3.0,1750.0,0.0,-4.0,-7.0,2020-05-05
311,Houtzdale,2448.0,3.0,2445.0,-5.0,-9.0,-9.0,2020-05-05
312,Huntingdon,1981.0,1.0,1980.0,-1.0,-1.0,-2.0,2020-05-05
313,Laurel Highlands,1358.0,12.0,1346.0,0.0,-2.0,-7.0,2020-05-05
314,Mahanoy,2289.0,3.0,2286.0,-2.0,-4.0,-8.0,2020-05-05
315,Mercer,1322.0,3.0,1319.0,0.0,0.0,-4.0,2020-05-05
316,Muncy,1299.0,9.0,1290.0,-3.0,-4.0,-6.0,2020-05-05
317,Phoenix,2985.0,8.0,2977.0,-4.0,-7.0,-46.0,2020-05-05
318,Pine Grove,1020.0,2.0,1018.0,-1.0,-1.0,-6.0,2020-05-05
319,Quehanna,303.0,0.0,303.0,0.0,0.0,0.0,2020-05-05
320,Retreat,452.0,0.0,452.0,34.0,35.0,94.0,2020-05-05
321,Rockview,2066.0,4.0,2062.0,-1.0,-5.0,-74.0,2020-05-05
322,Smithfield,1263.0,3.0,1260.0,-1.0,-1.0,-5.0,2020-05-05
323,Somerset,2301.0,0.0,2301.0,-1.0,-2.0,-4.0,2020-05-05
324,Waymart,1307.0,10.0,1297.0,0.0,-2.0,-9.0,2020-05-05
325,SCI TOTAL,43186.0,111.0,43075.0,-30.0,-73.0,-145.0,2020-05-05
326,CCC/F East,1036.0,0.0,1036.0,-4.0,-4.0,11.0,2020-05-05
