County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Columbia,04/28/2020,2,1.3,19,64964,3.08,1.98,29.25,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Chester,09/12/2020,0,0.4,363,524989,0,0.08,69.14,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lycoming,05/25/2020,0,0.4,17,113299,0,0.38,15,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lawrence,08/30/2020,0,0.1,20,85512,0,0.17,23.39,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Jefferson,08/22/2020,0,0,1,43425,0,0,2.3,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Sullivan,09/29/2020,0,0,0,6066,0,0,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Juniata,07/22/2020,0,0,6,24763,0,0,24.23,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
York,04/01/2020,1,0.1,1,449058,0.22,0.03,0.22,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Mifflin,05/10/2020,0,0,1,46138,0,0,2.17,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Centre,04/05/2020,0,0,0,162385,0,0,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Allegheny,05/29/2020,0,0.9,173,1216045,0,0.07,14.23,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/13/2020,2,2.3,400,1216045,0.16,0.19,32.89,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Potter,05/02/2020,0,0,0,16526,0,0,0,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Juniata,09/02/2020,0,0,6,24763,0,0,24.23,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Wayne,07/31/2020,0,0,9,51361,0,0,17.52,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Lycoming,05/11/2020,1,0.9,10,113299,0.88,0.76,8.83,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Sullivan,07/02/2020,0,0,0,6066,0,0,0,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Westmoreland,09/21/2020,1,0.1,54,348899,0.29,0.04,15.48,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
